[SQL: INSERT INTO stock_daily (symbol, trade_date, open_price, high_price, low_price, close_price, volume, amount) VALUES (?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: ('000001', None, 10.93, 10.95, 10.88, 10.91, 0, 657487700.23)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2026-03-16 14:21:30 | ERROR    | investment_agent | 执行技能get_market_data失败： (sqlite3.IntegrityError) NOT NULL constraint failed: stock_daily.trade_date
[SQL: INSERT INTO stock_daily (symbol, trade_date, open_price, high_price, low_price, close_price, volume, amount) VALUES (?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: ('000001', None, 10.93, 10.95, 10.88, 10.91, 0, 657487700.23)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2026-03-16 14:21:30 | ERROR    | investment_agent | ❌ 测试失败：argument of type 'NoneType' is not iterable
Traceback (most recent call last):
  File "D:\Study\Program\investment_agent\tests\test_stage2.py", line 28, in main
    if "error" in result:
       ^^^^^^^^^^^^^^^^^
TypeError: argument of type 'NoneType' is not iterable
2026-03-16 14:22:13 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 14:22:13 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
2026-03-16 14:22:14 | ERROR    | investment_agent | [AkShare] 获取失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 14:22:14 | ERROR    | investment_agent | ❌ 获取外部数据失败：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-16 14:22:40 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 14:22:40 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
2026-03-16 14:22:41 | INFO     | investment_agent | [AkShare] 成功获取 2 条记录。
2026-03-16 14:22:41 | ERROR    | investment_agent | ❌ 获取外部数据失败：(sqlite3.IntegrityError) NOT NULL constraint failed: stock_daily.trade_date
[SQL: INSERT INTO stock_daily (symbol, trade_date, open_price, high_price, low_price, close_price, volume, amount) VALUES (?, ?, ?, ?, ?, ?, ?, ?) RETURNING id]
[parameters: ('000001', None, 9.6, 9.61, 9.5, 9.55, 0, 772959353.15)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2026-03-16 14:30:08 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，正在调用 AkShare 获取 000001...
2026-03-16 14:30:08 | INFO     | investment_agent | [AkShare] 正在获取 000001 历史数据...
